Date,date,i
2017-12-03,2017-12-03,8.25
2017-12-04,2017-12-04,8.25
2017-12-05,2017-12-05,8.25
2017-12-06,2017-12-06,8.25
2017-12-07,2017-12-07,8.25
2017-12-08,2017-12-08,8.25
2017-12-09,2017-12-09,8.25
2017-12-10,2017-12-10,8.25
2017-12-11,2017-12-11,8.25
2017-12-12,2017-12-12,8.25
2017-12-13,2017-12-13,8.25
2017-12-14,2017-12-14,8.25
2017-12-15,2017-12-15,8.25
2017-12-16,2017-12-16,8.25
2017-12-17,2017-12-17,8.25
2017-12-18,2017-12-18,7.75
2017-12-19,2017-12-19,7.75
2017-12-20,2017-12-20,7.75
2017-12-21,2017-12-21,7.75
2017-12-22,2017-12-22,7.75
2017-12-23,2017-12-23,7.75
2017-12-24,2017-12-24,7.75
2017-12-25,2017-12-25,7.75
2017-12-26,2017-12-26,7.75
2017-12-27,2017-12-27,7.75
2017-12-28,2017-12-28,7.75
2017-12-29,2017-12-29,7.75
2017-12-30,2017-12-30,7.75
2017-12-31,2017-12-31,7.75
2018-01-01,2018-01-01,7.75
2018-01-02,2018-01-02,7.75
2018-01-03,2018-01-03,7.75
2018-01-04,2018-01-04,7.75
2018-01-05,2018-01-05,7.75
2018-01-06,2018-01-06,7.75
2018-01-07,2018-01-07,7.75
2018-01-08,2018-01-08,7.75
2018-01-09,2018-01-09,7.75
2018-01-10,2018-01-10,7.75
2018-01-11,2018-01-11,7.75
2018-01-12,2018-01-12,7.75
2018-01-13,2018-01-13,7.75
2018-01-14,2018-01-14,7.75
2018-01-15,2018-01-15,7.75
2018-01-16,2018-01-16,7.75
2018-01-17,2018-01-17,7.75
2018-01-18,2018-01-18,7.75
2018-01-19,2018-01-19,7.75
2018-01-20,2018-01-20,7.75
2018-01-21,2018-01-21,7.75
2018-01-22,2018-01-22,7.75
2018-01-23,2018-01-23,7.75
2018-01-24,2018-01-24,7.75
2018-01-25,2018-01-25,7.75
2018-01-26,2018-01-26,7.75
2018-01-27,2018-01-27,7.75
2018-01-28,2018-01-28,7.75
2018-01-29,2018-01-29,7.75
