<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20171220;0;58.6117;58.6117;58.6117;58.6117;0
USDCB;D;20171221;0;58.717;58.717;58.717;58.717;0
USDCB;D;20171222;0;58.5596;58.5596;58.5596;58.5596;0
USDCB;D;20171223;0;58.3152;58.3152;58.3152;58.3152;0
USDCB;D;20171226;0;58.1989;58.1989;58.1989;58.1989;0
USDCB;D;20171227;0;57.7343;57.7343;57.7343;57.7343;0
USDCB;D;20171228;0;57.4544;57.4544;57.4544;57.4544;0
USDCB;D;20171229;0;57.6291;57.6291;57.6291;57.6291;0
USDCB;D;20171230;0;57.6002;57.6002;57.6002;57.6002;0
USDCB;D;20180110;0;57.0463;57.0463;57.0463;57.0463;0
USDCB;D;20180111;0;56.8734;56.8734;56.8734;56.8734;0
USDCB;D;20180112;0;56.9957;56.9957;56.9957;56.9957;0
USDCB;D;20180113;0;56.6019;56.6019;56.6019;56.6019;0
USDCB;D;20180116;0;56.3569;56.3569;56.3569;56.3569;0
USDCB;D;20180117;0;56.3878;56.3878;56.3878;56.3878;0
USDCB;D;20180118;0;56.5925;56.5925;56.5925;56.5925;0
USDCB;D;20180119;0;56.7597;56.7597;56.7597;56.7597;0
USDCB;D;20180120;0;56.5892;56.5892;56.5892;56.5892;0
USDCB;D;20180123;0;56.6261;56.6261;56.6261;56.6261;0
USDCB;D;20180124;0;56.4115;56.4115;56.4115;56.4115;0
USDCB;D;20180125;0;56.3888;56.3888;56.3888;56.3888;0
USDCB;D;20180126;0;55.9288;55.9288;55.9288;55.9288;0
USDCB;D;20180127;0;55.8288;55.8288;55.8288;55.8288;0
USDCB;D;20180130;0;56.2908;56.2908;56.2908;56.2908;0
USDCB;D;20180131;0;56.2914;56.2914;56.2914;56.2914;0
USDCB;D;20180201;0;56.184;56.184;56.184;56.184;0
USDCB;D;20180202;0;56.2613;56.2613;56.2613;56.2613;0
USDCB;D;20180203;0;56.0408;56.0408;56.0408;56.0408;0
USDCB;D;20180206;0;56.6278;56.6278;56.6278;56.6278;0
USDCB;D;20180207;0;57.2196;57.2196;57.2196;57.2196;0
USDCB;D;20180208;0;56.9533;56.9533;56.9533;56.9533;0
USDCB;D;20180209;0;57.6736;57.6736;57.6736;57.6736;0
USDCB;D;20180210;0;58.1718;58.1718;58.1718;58.1718;0
USDCB;D;20180213;0;58.0171;58.0171;58.0171;58.0171;0
USDCB;D;20180214;0;57.7701;57.7701;57.7701;57.7701;0
USDCB;D;20180215;0;57.5899;57.5899;57.5899;57.5899;0
USDCB;D;20180216;0;56.5918;56.5918;56.5918;56.5918;0
USDCB;D;20180217;0;56.3554;56.3554;56.3554;56.3554;0
USDCB;D;20180220;0;56.3438;56.3438;56.3438;56.3438;0
USDCB;D;20180221;0;56.5201;56.5201;56.5201;56.5201;0
