<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;20150602;000000;52.8213000;52.8213000;52.8213000;52.8213000;0
USDCB;D;20150603;000000;53.4413000;53.4413000;53.4413000;53.4413000;0
USDCB;D;20150604;000000;53.0590000;53.0590000;53.0590000;53.0590000;0
USDCB;D;20150605;000000;54.9908000;54.9908000;54.9908000;54.9908000;0
USDCB;D;20150606;000000;56.2463000;56.2463000;56.2463000;56.2463000;0
USDCB;D;20150609;000000;56.0435000;56.0435000;56.0435000;56.0435000;0
USDCB;D;20150610;000000;55.9100000;55.9100000;55.9100000;55.9100000;0
USDCB;D;20150611;000000;54.8219000;54.8219000;54.8219000;54.8219000;0
USDCB;D;20150612;000000;54.5285000;54.5285000;54.5285000;54.5285000;0
USDCB;D;20150616;000000;55.2679000;55.2679000;55.2679000;55.2679000;0
USDCB;D;20150617;000000;54.0409000;54.0409000;54.0409000;54.0409000;0
USDCB;D;20150618;000000;53.8999000;53.8999000;53.8999000;53.8999000;0
USDCB;D;20150619;000000;53.3301000;53.3301000;53.3301000;53.3301000;0
USDCB;D;20150620;000000;53.8006000;53.8006000;53.8006000;53.8006000;0
USDCB;D;20150623;000000;53.5569000;53.5569000;53.5569000;53.5569000;0
USDCB;D;20150624;000000;54.2081000;54.2081000;54.2081000;54.2081000;0
USDCB;D;20150625;000000;54.0746000;54.0746000;54.0746000;54.0746000;0
USDCB;D;20150626;000000;54.6026000;54.6026000;54.6026000;54.6026000;0
USDCB;D;20150627;000000;54.8126000;54.8126000;54.8126000;54.8126000;0
USDCB;D;20150630;000000;55.5240000;55.5240000;55.5240000;55.5240000;0
USDCB;D;20150701;000000;55.8413000;55.8413000;55.8413000;55.8413000;0
USDCB;D;20150702;000000;55.4756000;55.4756000;55.4756000;55.4756000;0
USDCB;D;20150703;000000;55.6555000;55.6555000;55.6555000;55.6555000;0
USDCB;D;20150704;000000;55.6049000;55.6049000;55.6049000;55.6049000;0
USDCB;D;20150707;000000;56.4112000;56.4112000;56.4112000;56.4112000;0
